apostille_code,security_code,download_status,file_size,file_hash,pages,pdf_version,creator,producer,creation_date,detected_language,verification_score,integrity_score,is_valid_apostille,has_hague_convention,has_proper_structure,has_dates,has_signatures,missing_elements,suspicious_elements,first_page_text_length,analysis_time
BOUS9XAQDTFH2,2013073851064,success,1182821,562cb4f5783363f952e23422633b289637955954d6358ebe0975c99807675b7d,2,,,,,unknown,37.5,59.38,False,False,False,False,False,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",0,2026-02-11T15:13:36.253386
CTTO324Z8MDO7,2013074147166,success,2554893,d88d86ed17894d2261189fb69d4306971d0d6a18087a1024983ffa63275e9fbc,4,,,,,unknown,37.5,59.38,False,False,False,False,False,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",0,2026-02-11T15:13:37.698566
DOYO489SCL5K2,2013074137051,success,1318677,3cdf4ddcf416781bc3474dee8b662cd13d5781ac399d9ad0232ad5fcbabd8b79,4,,,,,unknown,37.5,59.38,False,False,False,False,False,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",0,2026-02-11T15:13:40.126666
