Ссылка,Статус
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5S2WF92X7X4R8/securityCode/2013074079955,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/5S2WF92X7X4R8/securityCode/2013074079955 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP4/securityCode/2013073967178,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/7G6YCW5R9NCP4/securityCode/2013073967178 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/7FYS428VLM4F4/securityCode/2013074021602,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/7FYS428VLM4F4/securityCode/2013074021602 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FN5P1X6ZIP6R3/securityCode/2013074048357,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/FN5P1X6ZIP6R3/securityCode/2013074048357 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5GTUD58SJQ5N6/securityCode/2013073928629,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/5GTUD58SJQ5N6/securityCode/2013073928629 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/6R3U2Y63JZ6M3/securityCode/2013073928629,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/6R3U2Y63JZ6M3/securityCode/2013073928629 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/CTTO324Z8MDO7/securityCode/2013074147166,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/CTTO324Z8MDO7/securityCode/2013074147166 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3R3T11BQ6TJI1/securityCode/2013073973599,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/3R3T11BQ6TJI1/securityCode/2013073973599 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/8I2N14CVELIQ5/securityCode/2013073980269,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/8I2N14CVELIQ5/securityCode/2013073980269 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO4/securityCode/2013073967857,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/9T3M953ZBUHO4/securityCode/2013073967857 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DR4Y1584JW9F4/securityCode/2013073886585,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/DR4Y1584JW9F4/securityCode/2013073886585 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/356V078ZELIK9/securityCode/2013073928629,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/356V078ZELIK9/securityCode/2013073928629 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/COUQ976XEZCH7/securityCode/2013074010279,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/COUQ976XEZCH7/securityCode/2013074010279 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9J3V97AV8T4M8/securityCode/2013074147166,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/9J3V97AV8T4M8/securityCode/2013074147166 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DLUX84ASKYII6/securityCode/2013074013836,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/DLUX84ASKYII6/securityCode/2013074013836 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/3HWVD912FN7H4/securityCode/2013074053054,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/3HWVD912FN7H4/securityCode/2013074053054 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO2TCZ6WHSFG4/securityCode/2013074052736,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/BO2TCZ6WHSFG4/securityCode/2013074052736 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/BO1SF0EVBU6P7/securityCode/2013073999025,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/BO1SF0EVBU6P7/securityCode/2013073999025 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/EJBU9703FPF54/securityCode/2013074155734 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/9OVS71FRKM453/securityCode/2013073942632,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/9OVS71FRKM453/securityCode/2013073942632 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/IPTZ514SCO6R9/securityCode/2013074007644,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/IPTZ514SCO6R9/securityCode/2013074007644 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/6QTV0Z4VIS7I1/securityCode/2013074130885,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/6QTV0Z4VIS7I1/securityCode/2013074130885 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/FJXU588SHPDP2/securityCode/2013074127359,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/FJXU588SHPDP2/securityCode/2013074127359 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/5L7N238Z7QHH5/securityCode/2013074147166,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/5L7N238Z7QHH5/securityCode/2013074147166 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/GGTUEBEZGYGH7/securityCode/2013074155734,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/GGTUEBEZGYGH7/securityCode/2013074155734 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
https://apostila.gov.md/apostila/site/downloadApostila/apostileCode/DOYO489SCL5K2/securityCode/2013074137051,"Ошибка доступа: HTTPSConnectionPool(host='apostila.gov.md', port=443): Max retries exceeded with url: /apostila/site/downloadApostila/apostileCode/DOYO489SCL5K2/securityCode/2013074137051 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)')))"
