Номер апостиля,Код безопасности,Статус,Размер (байт),Страниц,Язык,Оценка верификации,Валидный,Даты,Подписи,Текст на 1 странице,Отсутствуют элементы,Подозрительные элементы,Дата проверки,SHA-256
BOUS9XAQDTFH2,2013073851064,success,1182821,2,Romanian,66.67,Нет,Нет,Да,2672,dates,,2026-02-11T15:00:35.990229,562cb4f5783363f9...
CTTO324Z8MDO7,2013074147166,success,2554893,4,Romanian,66.67,Нет,Нет,Да,2612,dates,,2026-02-11T15:00:37.903327,d88d86ed17894d22...
DOYO489SCL5K2,2013074137051,success,1318677,4,Romanian,66.67,Нет,Нет,Да,2671,dates,,2026-02-11T15:00:40.758379,3cdf4ddcf416781b...
