Номер апостиля,Код безопасности,Статус,Размер (байт),Страниц,PDF версия,Создатель,Производитель,Дата создания PDF,Язык,Оценка верификации,Оценка целостности,Валидный,Гаагская конвенция,Правильная структура,Даты,Подписи,Текст на 1 странице,Отсутствуют элементы,Подозрительные элементы,Дата анализа,SHA-256
BOUS9XAQDTFH2,2013073851064,success,1182821,2,,,,,unknown,37.5,59.38,Нет,Нет,Нет,Нет,Нет,,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",2026-02-11T15:13:36.253386,562cb4f5783363f9...
CTTO324Z8MDO7,2013074147166,success,2554893,4,,,,,unknown,37.5,59.38,Нет,Нет,Нет,Нет,Нет,,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",2026-02-11T15:13:37.698566,d88d86ed17894d22...
DOYO489SCL5K2,2013074137051,success,1318677,4,,,,,unknown,37.5,59.38,Нет,Нет,Нет,Нет,Нет,,"text_content, dates, signatures, hague_convention, proper_structure","no_metadata, no_text_content",2026-02-11T15:13:40.126666,3cdf4ddcf416781b...
